Date,Depth_per_day
2019-06-04,6645.4448432255385
2019-06-05,6585.888059955046
2019-06-06,6956.414781224776
2019-06-07,7573.35013476013
2019-06-08,7652.840529097844
2019-06-09,7966.876875789363
2019-06-10,8928.299735970118
2019-06-11,9067.656878827262
2019-06-12,8895.094180414562
2019-06-13,9758.24614728827
2019-06-14,9665.206147288269
2019-06-15,9716.6382460537
2019-06-16,9218.365518780975
2019-06-17,8709.266528881984
2019-06-18,9923.58187910553
2019-06-19,9923.58187910553
2019-06-20,10353.29228634535
2019-06-21,9893.601256445017
2019-06-22,9559.244613088375
2019-06-23,9799.077946421707
2019-06-24,10066.709318970727
2019-06-25,10000.896818970727
2019-06-26,10000.896818970727
2019-06-27,10229.642850716758
2019-06-28,9812.84285071676
2019-06-29,9812.84285071676
2019-06-30,9399.529333970348
2019-07-01,9399.529333970348
2019-07-02,9399.529333970348
2019-07-03,9205.679333970347
2019-07-04,7973.768436534449
2019-07-05,8325.075103201116
2019-07-06,8325.075103201116
2019-07-07,8160.524923989647
2019-07-08,8110.908762373485
2019-07-09,7932.11565892521
2019-07-10,8236.258516068066
2019-07-11,7794.858516068067
2019-07-12,7435.739468449019
2019-07-13,7333.483058192609
2019-07-14,7333.483058192609
2019-07-15,7369.59416930372
2019-07-16,6963.19416930372
2019-07-17,7215.728703838255
2019-07-18,6595.6561678471135
2019-07-19,6434.194629385575
2019-07-20,6434.194629385575
2019-07-21,5670.569629385575
2019-07-22,5627.28522571585
2019-07-23,5868.70434336291
2019-07-24,5782.384343362909
2019-07-25,5226.968884425712
2019-07-26,5141.124439981267
2019-07-27,4645.902217759045
2019-07-28,4690.419459138355
2019-07-29,4739.485248612039
2019-07-30,4597.654945581736
