,NOx,SO2,NO,NO2,TRS,O3
73,10.5,0.2,0.3,10.1,0.1,17.1
74,9.5,0.2,0.2,9.4,0.1,15.6
75,8.1,0.3,0.2,7.9,0.2,18.1
76,7.5,0.3,0.15000000000000002,7.300000000000001,0.25,19.15
77,6.9,0.3,0.1,6.7,0.3,20.2
78,8.8,0.5,0.4,8.4,0.3,21.4
79,5.8,0.6,0.1,5.7,0.3,26.3
80,4.9,0.5,0.2,4.6,0.3,27.4
81,4.1,0.5,0.4,3.7,0.3,29.0
82,5.1,0.6,1.0,4.1,0.3,29.0
83,5.1,0.8,0.9,4.2,0.3,29.7
84,4.9,1.0,1.1,3.8,0.2,30.3
85,4.1,1.2,0.8,3.3,0.2,30.9
86,5.5,0.8,0.7,4.8,0.1,28.3
87,6.6,0.5,0.5,6.1,0.1,25.6
88,6.4,0.5,0.3,6.1,0.1,24.2
89,6.1,1.1,0.3,5.8,0.1,25.0
90,5.7,1.2,0.3,5.4,0.2,24.6
91,5.6,1.5,0.1,5.6,0.1,23.6
92,6.3,1.7,0.3,6.1,0.1,22.4
93,5.9,1.0,0.2,5.7,0.1,21.2
94,4.1,0.6,0.2,3.9,0.1,23.2
95,4.0,0.4,0.1,3.9,0.0,28.6
96,4.0,0.3,0.2,3.8,0.1,32.6
97,5.0,0.2,0.2,4.8,0.1,31.1
98,3.9,0.2,0.2,3.8,0.1,31.1
99,4.2,0.5,0.2,4.0,0.0,31.0
100,4.8,0.4,0.2,4.6,0.1,29.8
101,5.449999999999999,0.65,0.30000000000000004,5.15,0.05,28.55
102,6.1,0.9,0.4,5.7,0.0,27.3
103,5.7,0.8,0.1,5.6,0.0,26.6
104,7.0,0.8,0.4,6.6,0.0,24.6
105,6.7,1.0,1.0,5.7,0.0,25.1
106,7.0,1.9,1.6,5.4,0.2,24.7
107,9.5,2.2,3.2,6.3,0.1,24.1
108,10.2,2.5,3.2,7.0,0.1,22.8
109,9.4,3.1,2.7,6.7,0.2,22.7
110,7.6,1.7,1.3,6.3,0.2,23.2
111,5.5,1.5,0.5,5.0,0.2,24.6
112,4.8,1.0,0.3,4.5,0.2,24.6
113,4.4,0.9,0.3,4.1,0.1,24.5
114,3.5,0.8,0.3,3.2,0.2,24.6
115,3.5,0.4,0.3,3.2,0.2,24.0
116,3.2,0.4,0.2,3.0,0.2,24.6
117,2.5,0.5,0.2,2.3,0.3,25.2
118,3.0,0.9,0.2,2.8,0.4,24.1
119,2.2,0.7,0.2,2.1,0.3,25.6
120,1.8,0.6,0.2,1.6,0.3,26.6
121,1.1,0.3,0.2,0.9,0.3,28.9
122,1.1,0.3,0.3,0.8,0.2,30.0
123,0.8,0.3,0.1,0.7,0.3,30.2
124,0.8,0.3,0.1,0.7,0.3,30.8
125,1.0,0.3,0.1,0.9,0.2,31.1
126,1.1,0.3,0.15000000000000002,0.95,0.4,31.1
127,1.2,0.3,0.2,1.0,0.6,31.1
128,1.3,0.2,0.2,1.1,0.6,29.7
129,2.0,0.3,0.5,1.5,0.5,29.4
130,1.2,0.2,0.4,0.9,0.6,30.4
131,1.1,0.2,0.3,0.8,0.4,31.7
132,1.7,0.2,0.7,1.1,0.5,31.9
133,5.1,0.2,3.5,1.8,0.5,31.0
134,1.3,0.2,0.4,1.0,0.5,31.3
135,1.4,0.2,0.5,0.9,0.4,31.8
136,1.7,0.2,0.3,1.4,0.3,31.4
137,1.2,0.2,0.1,1.1,0.4,30.9
138,1.4,0.2,0.1,1.3,0.3,29.9
139,1.1,0.2,0.2,0.9,0.4,29.6
140,1.0,0.1,0.2,0.7,0.3,29.6
141,1.1,0.1,0.2,0.9,0.3,30.2
142,1.0,0.2,0.2,0.8,0.3,30.8
143,0.8,0.2,0.1,0.7,0.3,31.5
144,0.8,0.2,0.1,0.7,0.3,32.0
145,0.9,0.2,0.2,0.6,0.2,32.4
146,0.9,0.1,0.2,0.6,0.1,32.4
147,0.9,0.1,0.2,0.7,0.2,32.7
148,1.2,0.1,0.2,1.0,0.2,33.0
149,1.7,0.2,0.2,1.4,0.1,33.3
150,4.8,0.1,1.4,3.1,0.0,33.9
151,4.3,0.2,0.8999999999999999,3.25,0.2,32.1
152,3.8,0.3,0.4,3.4,0.4,30.3
153,3.2,0.3,0.5,2.7,0.4,33.0
154,2.5,0.3,0.6,1.9,0.4,34.8
155,1.8,0.3,0.5,1.3,0.3,35.9
156,4.6,0.3,2.1,2.5,0.3,35.3
157,2.1,0.2,0.6,1.4,0.3,35.6
158,1.9,0.2,0.5,1.4,0.2,35.1
159,1.9,0.2,0.4,1.6,0.3,34.9
160,1.8,0.2,0.4,1.3,0.2,34.5
161,2.0,0.1,0.2,1.8,0.1,32.3
162,2.9,0.1,0.4,2.5,0.1,30.2
163,3.7,0.0,0.5,3.2,0.1,28.5
164,2.7,0.0,0.2,2.5,0.1,28.7
165,3.5,0.0,0.3,3.1,0.0,26.5
166,2.9,0.0,0.3,2.6,0.0,27.1
167,2.8,0.0,0.2,2.6,0.1,27.4
168,3.2,0.0,0.2,3.0,0.0,26.9
169,3.6,0.0,0.1,3.5,0.0,26.2
170,4.6,0.0,0.3,4.3,0.0,25.2
171,5.0,0.0,0.2,4.7,0.1,25.2
172,6.9,0.0,0.3,6.6,0.0,22.1
173,7.6,0.0,0.4,7.1,0.1,20.6
174,26.5,0.1,4.0,22.6,0.2,9.5
175,25.8,0.0,3.3,22.5,0.2,7.4
176,22.3,0.05,4.25,18.05,0.15000000000000002,11.8
177,18.8,0.1,5.2,13.6,0.1,16.2
