,NOx,SO2,NO,NO2,TRS,O3
4392,1.3,0.1,0.1,1.1,0.3,25.6
4393,1.6,0.1,0.1,1.6,0.3,25.2
4394,1.8,0.1,0.1,1.8,0.3,26.7
4395,1.4,0.1,0.1,1.4,0.3,26.3
4396,1.5,0.1,0.1,1.4,0.3,23.0
4397,2.0,0.0,0.6,1.4,0.3,23.2
4398,1.9,0.2,0.3,1.6,0.3,23.8
4399,1.5,0.2,0.3,1.2,0.4,25.2
4400,1.0,0.2,0.3,0.7,0.3,28.1
4401,0.7,0.15000000000000002,0.15,0.55,0.3,29.05
4402,0.4,0.1,0.0,0.4,0.3,30.0
4403,0.5,0.1,0.2,0.4,0.3,31.6
4404,0.4,0.1,0.0,0.4,0.4,33.1
4405,0.7,0.2,0.2,0.4,0.4,35.7
4406,1.2,0.2,0.3,1.0,0.4,30.9
4407,1.0,0.2,0.3,0.7,0.5,29.8
4408,0.7,0.2,0.1,0.6,0.4,29.1
4409,1.0,0.1,0.3,0.7,0.4,25.6
4410,0.6,0.1,0.2,0.5,0.3,25.1
4411,1.3,0.1,0.4,0.9,0.3,18.5
4412,1.6,0.1,0.2,1.4,0.4,14.6
4413,1.7,0.1,0.3,1.4,0.4,10.2
4414,2.2,0.1,0.3,1.9,0.3,7.8
4415,2.4,0.1,0.4,2.0,0.3,6.8
4416,2.7,0.1,0.6,2.1,0.3,3.8
4417,3.1,0.1,0.8,2.3,0.3,3.0
4418,2.6,0.1,0.8,1.8,0.2,2.4
4419,4.6,0.1,1.8,2.8,0.2,0.9
4420,3.7,0.1,2.2,1.5,0.2,1.6
4421,2.5,0.1,1.2,1.4,0.2,8.2
4422,2.6,0.9,1.1,1.5,0.2,16.4
4423,2.0,2.4,0.6,1.4,0.3,18.0
4424,2.0,1.9,0.5,1.4,0.2,19.4
4425,1.2,1.4,0.4,0.8,0.2,27.4
4426,1.05,0.95,0.30000000000000004,0.75,0.25,29.45
4427,0.9,0.5,0.2,0.7,0.3,31.5
4428,0.8,0.1,0.2,0.6,0.3,30.7
4429,0.7,0.3,0.1,0.6,0.2,28.9
4430,0.5,0.1,0.1,0.4,0.2,30.0
4431,0.6,0.1,0.1,0.5,0.2,30.3
4432,0.7,0.1,0.2,0.5,0.2,30.3
4433,1.1,0.0,0.3,0.8,0.1,28.8
4434,1.6,0.0,0.2,1.4,0.2,24.9
4435,1.9,0.0,0.4,1.5,0.2,18.0
4436,2.2,0.0,0.4,1.9,0.1,9.6
4437,2.7,0.0,0.2,2.5,0.0,8.7
4438,2.3,0.0,0.1,2.3,0.1,7.5
4439,3.6,0.0,0.6,3.1,0.1,3.5
4440,4.0,0.1,0.5,3.5,0.0,6.1
4441,4.0,0.2,0.2,3.7,0.0,5.0
4442,2.8,0.1,0.4,2.4,0.0,2.0
4443,4.1,0.0,0.9,3.2,0.0,5.5
4444,2.7,0.0,0.4,2.3,0.0,13.3
4445,3.0,0.0,0.9,2.2,0.0,14.7
4446,2.3,0.2,0.7,1.6,0.1,17.9
4447,2.0,0.4,0.5,1.5,0.1,21.8
4448,2.0,0.4,0.6,1.4,0.0,24.8
4449,1.9,0.6,0.5,1.3,0.1,27.3
4450,1.5,0.3,0.4,1.1,0.0,29.6
4451,1.25,0.25,0.30000000000000004,0.9500000000000001,0.0,31.900000000000002
4452,1.0,0.2,0.2,0.8,0.0,34.2
4453,1.1,0.1,0.3,0.8,0.1,32.6
4454,0.9,0.1,0.2,0.8,0.1,35.8
4455,0.9,0.1,0.2,0.7,0.1,35.9
4456,1.1,0.0,0.3,0.8,0.1,35.1
4457,1.3,0.1,0.3,1.0,0.1,34.0
4458,1.6,0.2,0.4,1.3,0.0,33.0
4459,1.9,0.1,0.2,1.7,0.1,30.6
4460,2.8,0.1,0.3,2.6,0.1,23.0
4461,4.9,0.0,0.4,4.4,0.1,8.9
4462,5.0,0.0,1.1,3.9,0.2,3.4
4463,4.7,0.1,1.4,3.3,0.1,1.9
4464,4.3,0.1,1.2,3.1,0.2,1.4
4465,4.8,0.0,2.0,2.8,0.1,1.1
4466,5.2,0.1,3.0,2.2,0.1,0.3
4467,4.3,0.1,2.1,2.1,0.1,0.8
4468,4.1,0.1,2.6,1.5,0.1,1.2
4469,2.7,0.1,1.3,1.4,0.1,5.4
4470,3.5,0.1,1.4,2.1,0.1,13.7
4471,5.9,0.5,2.3,3.6,0.2,20.6
4472,2.9,0.7,0.9,2.1,0.3,27.5
4473,3.2,1.0,0.6,2.6,0.2,31.9
4474,1.7,0.4,0.4,1.3,0.2,35.9
4475,1.7,0.2,0.4,1.4,0.3,37.3
4476,1.9,0.44999999999999996,0.4,1.5499999999999998,0.2,37.25
4477,2.1,0.7,0.4,1.7,0.1,37.2
4478,2.0,0.5,0.2,1.7,0.1,33.3
4479,1.8,0.4,0.2,1.6,0.0,33.8
4480,2.3,1.0,0.5,1.9,0.1,35.2
4481,2.3,0.9,0.4,1.9,0.1,38.3
4482,2.7,0.6,0.6,2.1,0.1,32.7
4483,2.3,0.4,0.3,2.0,0.1,29.4
4484,1.4,0.1,0.1,1.4,0.0,25.1
4485,2.5,0.1,0.2,2.3,0.1,21.1
4486,4.4,0.1,0.6,3.9,0.2,11.9
4487,4.0,0.0,0.5,3.6,0.1,10.2
4488,3.8,0.1,0.6,3.1,0.0,5.9
4489,4.3,0.0,1.0,3.3,0.1,3.3
4490,3.9,0.1,0.9,2.9,0.1,3.3
4491,2.6,0.0,0.5,2.1,0.0,5.7
4492,1.2,0.0,0.1,1.0,0.1,10.6
4493,1.2,0.0,0.4,0.8,0.0,11.6
4494,1.6,0.0,0.5,1.1,0.0,11.2
4495,1.8,0.1,0.5,1.4,0.1,18.6
4496,1.6,0.7,0.3,1.3,0.2,20.6
4497,1.8,2.6,0.5,1.4,0.1,20.0
4498,0.9,1.0,0.2,0.7,0.1,20.5
4499,0.6,0.2,0.1,0.4,0.1,19.4
4500,0.8,0.1,0.3,0.5,0.1,20.5
4501,0.8,0.45000000000000007,0.35,0.5,0.15000000000000002,19.9
4502,0.8,0.8,0.4,0.5,0.2,19.3
4503,0.9,0.1,0.2,0.6,0.2,18.2
4504,0.8,0.1,0.1,0.7,0.2,20.0
4505,1.0,0.1,0.2,0.8,0.2,18.8
4506,1.2,0.2,0.3,0.9,0.1,17.8
4507,1.4,0.1,0.2,1.2,0.1,15.8
4508,2.8,0.1,0.4,2.3,0.2,9.2
4509,2.8,0.1,0.3,2.5,0.2,6.6
4510,3.6,0.1,0.6,3.0,0.2,3.5
4511,4.9,0.1,1.6,3.3,0.2,1.8
4512,4.0,0.1,1.1,2.9,0.3,2.2
4513,4.9,0.1,2.2,2.8,0.3,0.7
4514,3.3,0.2,0.6,2.7,0.2,3.5
4515,3.1,0.1,0.7,2.5,0.2,2.1
4516,3.2,0.1,0.6,2.5,0.2,2.4
4517,3.1,0.1,1.1,1.9,0.2,2.5
4518,6.1,0.2,2.9,3.2,0.2,3.0
4519,3.9,1.7,1.1,2.8,0.2,6.1
4520,2.4,1.3,0.5,1.9,0.2,11.7
4521,1.4,0.2,0.2,1.3,0.3,14.9
4522,1.5,0.1,0.3,1.2,0.3,15.2
4523,1.0,0.1,0.2,0.7,0.2,16.9
4524,1.1,0.1,0.2,0.8,0.1,16.9
4525,1.3,0.1,0.2,1.1,0.1,15.9
4526,1.1,0.05,0.15000000000000002,0.9500000000000001,0.1,18.2
4527,0.9,0.0,0.1,0.8,0.1,20.5
4528,1.0,0.0,0.2,0.8,0.1,18.2
4529,0.9,0.0,0.2,0.8,0.0,18.5
4530,0.8,0.1,0.1,0.7,0.1,19.9
4531,2.4,0.0,0.3,2.2,0.0,17.7
4532,1.2,0.0,0.0,1.2,0.1,20.9
4533,1.7,0.0,0.1,1.6,0.0,14.2
4534,2.2,0.0,0.4,1.8,0.0,9.9
4535,1.8,0.0,0.3,1.5,0.0,9.0
4536,1.7,0.0,0.3,1.4,0.0,7.4
4537,2.3,0.0,0.5,1.9,0.0,5.0
4538,2.1,0.0,0.4,1.6,0.0,5.6
4539,2.3,0.0,0.7,1.6,0.0,3.4
4540,3.9,0.0,2.1,1.8,0.0,2.6
4541,2.5,0.0,1.1,1.4,0.0,6.0
4542,2.9,0.0,1.5,1.5,0.0,9.1
4543,2.7,0.1,1.1,1.6,0.1,12.4
4544,2.3,0.3,0.8,1.5,0.1,22.1
4545,1.5,0.2,0.5,1.0,0.1,24.0
4546,1.4,0.1,0.3,1.1,0.1,26.9
4547,1.2,0.1,0.3,0.9,0.2,26.1
4548,2.1,0.1,0.7,1.4,0.2,26.7
4549,1.1,0.0,0.2,0.9,0.2,27.3
4550,1.6,0.0,0.3,1.3,0.1,27.4
4551,1.9000000000000001,0.05,0.44999999999999996,1.4500000000000002,0.1,25.25
4552,2.2,0.1,0.6,1.6,0.1,23.1
4553,1.5,0.1,0.2,1.3,0.1,20.9
4554,1.5,0.2,0.2,1.3,0.1,17.8
4555,1.4,0.1,0.2,1.2,0.1,14.6
4556,1.9,0.1,0.4,1.5,0.1,10.4
4557,3.2,0.0,0.7,2.5,0.2,4.3
4558,3.5,0.1,1.1,2.3,0.2,2.2
4559,3.7,0.1,1.4,2.2,0.1,1.0
4560,4.4,0.1,2.5,1.9,0.2,0.2
4561,4.4,0.1,2.5,1.8,0.2,0.7
4562,2.0,0.1,0.6,1.4,0.1,1.1
4563,3.3,0.1,1.4,1.9,0.0,1.3
4564,3.4,0.1,1.2,2.2,0.2,2.7
4565,3.6,0.5,0.9,2.7,0.3,7.3
4566,4.6,0.4,1.2,3.4,0.2,8.8
4567,4.1,0.3,1.0,3.1,0.2,11.2
4568,2.4,0.2,0.5,1.8,0.2,12.3
4569,1.8,0.2,0.5,1.3,0.2,14.4
4570,1.7,0.4,0.5,1.2,0.2,18.0
4571,1.3,0.4,0.2,1.1,0.2,20.4
4572,1.4,0.3,0.3,1.1,0.2,21.6
4573,1.5,0.3,0.4,1.1,0.2,21.0
4574,1.8,0.3,0.5,1.3,0.2,22.1
4575,2.5,0.3,0.5,1.9,0.2,20.8
4576,2.25,0.2,0.35,1.7999999999999998,0.2,20.700000000000003
4577,2.0,0.1,0.2,1.7,0.2,20.6
4578,2.0,0.1,0.4,1.7,0.2,18.7
4579,1.8,0.0,0.4,1.4,0.1,15.5
4580,2.0,0.0,0.2,1.8,0.2,9.5
4581,3.8,0.1,1.2,2.6,0.2,2.5
4582,4.8,0.0,2.0,2.8,0.1,0.9
4583,4.5,0.1,2.5,1.9,0.1,0.6
4584,4.4,0.1,2.8,1.6,0.2,0.3
4585,4.0,0.1,2.3,1.7,0.0,0.5
4586,4.6,0.1,3.0,1.6,0.0,0.3
4587,3.1,0.1,1.7,1.4,0.1,0.9
4588,2.4,0.0,1.2,1.3,0.0,2.4
4589,3.3,0.1,2.0,1.3,0.1,3.0
4590,8.8,0.1,6.2,2.6,0.0,3.6
4591,7.1,0.2,5.1,1.9,0.0,4.3
4592,2.7,0.1,1.6,1.1,0.1,8.8
4593,2.0,0.1,1.0,1.0,0.2,14.2
4594,0.9,0.2,0.2,0.6,0.3,19.7
4595,0.8,0.1,0.3,0.5,0.3,23.4
4596,1.0,0.2,0.3,0.6,0.3,25.5
4597,2.0,0.2,0.7,1.3,0.4,24.5
4598,2.1,0.1,0.8,1.3,0.4,25.2
4599,0.7,0.1,0.2,0.5,0.3,26.3
4600,3.9,0.2,1.2,2.7,0.3,24.5
4601,2.4,0.15000000000000002,0.65,1.75,0.2,29.0
4602,0.9,0.1,0.1,0.8,0.1,33.5
4603,2.7,0.1,0.3,2.4,0.2,31.2
4604,8.2,0.1,1.1,7.1,0.1,22.0
4605,6.6,0.1,1.2,5.4,0.1,24.1
4606,8.7,0.1,1.5,7.2,0.1,19.4
4607,0.9,0.1,0.0,0.9,0.1,22.9
4608,1.2,0.1,0.1,1.1,0.2,21.7
4609,1.3,0.1,0.3,1.0,0.1,20.9
4610,0.8,0.0,0.1,0.7,0.2,21.4
4611,0.9,0.0,0.2,0.7,0.1,20.2
4612,1.0,0.0,0.3,0.6,0.1,19.1
4613,1.0,0.0,0.3,0.7,0.2,18.7
4614,0.9,0.1,0.3,0.6,0.2,18.3
4615,0.8,0.1,0.3,0.4,0.2,21.3
4616,0.7,0.1,0.3,0.4,0.1,23.8
4617,0.6,0.3,0.1,0.5,0.1,26.1
4618,0.7,0.2,0.2,0.5,0.2,28.9
4619,0.7,0.1,0.2,0.5,0.2,29.4
4620,0.7,0.1,0.2,0.5,0.2,30.2
4621,1.0,0.1,0.5,0.6,0.2,30.3
4622,0.8,0.1,0.3,0.6,0.2,30.8
4623,0.6,0.1,0.2,0.4,0.2,29.6
4624,1.1,0.1,0.3,0.7,0.2,26.7
4625,0.7,0.4,0.3,0.5,0.2,27.3
4626,4.1499999999999995,0.25,1.25,2.95,0.25,23.450000000000003
4627,7.6,0.1,2.2,5.4,0.3,19.6
4628,16.9,0.2,5.4,11.5,0.3,16.7
4629,6.6,0.1,1.5,5.1,0.2,18.9
4630,2.5,0.0,0.1,2.4,0.3,17.2
4631,3.2,0.1,0.3,3.0,0.2,10.1
4632,3.0,0.0,0.2,2.9,0.2,14.7
4633,1.3,0.1,0.1,1.2,0.1,20.6
4634,1.4,0.0,0.2,1.2,0.1,19.4
4635,2.1,0.0,0.2,2.0,0.1,13.6
4636,2.5,0.0,0.4,2.1,0.1,12.2
4637,2.5,0.1,0.5,2.1,0.1,13.2
4638,2.7,0.1,0.9,1.9,0.1,15.5
4639,1.5,0.0,0.4,1.1,0.0,22.2
4640,1.8,0.1,0.4,1.3,0.1,24.6
4641,1.2,0.1,0.2,1.0,0.1,23.7
4642,1.6,0.2,0.5,1.1,0.1,23.5
4643,1.4,0.2,0.4,0.9,0.1,25.0
4644,1.1,0.2,0.2,0.9,0.1,26.9
4645,2.0,0.1,0.4,1.6,0.1,27.3
4646,1.6,0.1,0.4,1.2,0.2,30.8
4647,3.8,0.1,1.2,2.6,0.2,30.7
4648,1.7,0.1,0.5,1.2,0.3,29.7
4649,2.1,0.1,0.4,1.7,0.2,27.7
4650,1.2,0.1,0.2,1.0,0.3,25.5
4651,5.1,0.1,1.2999999999999998,3.85,0.3,21.05
4652,9.0,0.1,2.4,6.7,0.3,16.6
4653,4.2,0.1,0.2,4.0,0.3,14.1
4654,3.7,0.1,0.0,3.7,0.3,14.0
4655,2.6,0.1,0.2,2.3,0.3,11.2
4656,2.4,0.1,0.2,2.3,0.2,12.8
4657,2.7,0.1,0.5,2.2,0.1,8.5
4658,1.5,0.1,0.1,1.4,0.2,13.8
4659,1.2,0.0,0.1,1.1,0.2,15.1
4660,1.0,0.1,0.2,0.8,0.2,15.7
4661,0.9,0.1,0.4,0.5,0.1,16.4
4662,0.7,0.1,0.2,0.5,0.2,16.4
4663,0.9,0.1,0.4,0.5,0.3,18.1
4664,1.2,0.2,0.3,0.9,0.3,25.2
4665,1.1,0.2,0.3,0.9,0.3,27.9
4666,1.1,0.7,0.1,1.0,0.3,31.9
4667,0.9,0.8,0.2,0.8,0.2,32.9
4668,0.9,0.6,0.1,0.8,0.3,34.9
4669,1.2,2.0,0.2,1.0,0.2,38.1
4670,1.1,0.8,0.2,0.9,0.2,36.1
4671,9.0,0.1,2.4,6.6,0.1,27.3
4672,1.0,0.0,0.1,0.9,0.2,29.8
4673,1.4,0.1,0.3,1.1,0.2,29.3
4674,1.0,0.1,0.1,0.8,0.1,25.3
4675,1.5,0.1,0.2,1.3,0.1,26.2
4676,2.25,0.1,0.15000000000000002,2.1,0.15000000000000002,18.7
4677,3.0,0.1,0.1,2.9,0.2,11.2
4678,4.0,0.0,0.6,3.4,0.2,6.6
4679,3.8,0.0,0.7,3.0,0.2,5.1
4680,3.1,0.0,0.6,2.5,0.1,6.7
4681,1.9,0.0,0.2,1.8,0.2,10.0
4682,1.4,0.0,0.0,1.4,0.1,10.9
4683,1.3,0.0,0.1,1.2,0.1,11.2
4684,2.0,0.0,0.3,1.7,0.1,10.6
4685,1.5,0.0,0.4,1.0,0.2,12.1
4686,0.9,0.1,0.4,0.5,0.2,14.9
4687,0.8,0.3,0.3,0.5,0.2,18.4
4688,0.8,1.9,0.3,0.5,0.2,22.1
4689,0.7,0.9,0.2,0.4,0.2,24.6
4690,0.9,0.6,0.3,0.6,0.2,26.9
4691,0.7,0.4,0.1,0.6,0.2,28.7
4692,0.7,0.2,0.1,0.6,0.2,30.1
4693,0.7,0.2,0.1,0.6,0.2,31.0
4694,0.7,0.2,0.1,0.6,0.2,33.0
4695,0.7,0.8,0.2,0.6,0.3,32.5
4696,0.8,4.0,0.2,0.6,0.3,32.5
4697,0.9,4.2,0.1,0.8,0.3,30.3
4698,0.7,0.8,0.1,0.6,0.2,30.4
4699,2.7,0.2,0.3,2.3,0.2,26.6
4700,2.0,0.1,0.2,1.9,0.3,20.8
4701,3.0,0.1,0.30000000000000004,2.75,0.2,16.0
4702,4.0,0.1,0.4,3.6,0.1,11.2
4703,4.8,0.1,0.1,4.7,0.1,12.4
4704,3.1,0.1,0.3,2.8,0.1,11.5
4705,2.8,0.1,0.2,2.6,0.0,12.7
4706,2.3,0.1,0.4,1.9,0.1,11.0
4707,2.5,0.1,0.4,2.1,0.0,7.8
4708,2.3,0.1,0.4,1.9,0.0,10.1
4709,5.7,0.1,2.5,3.3,0.0,9.4
4710,4.2,0.1,1.6,2.6,0.0,18.0
4711,4.3,0.2,1.7,2.6,0.0,21.6
4712,1.1,0.1,0.4,0.7,0.1,25.4
4713,0.6,0.5,0.2,0.5,0.0,29.8
4714,0.7,1.2,0.2,0.5,0.1,31.2
4715,0.9,0.4,0.3,0.6,0.2,31.8
4716,0.8,0.1,0.2,0.6,0.1,32.5
4717,0.7,0.6,0.3,0.4,0.1,31.9
4718,1.0,0.4,0.4,0.6,0.1,34.5
4719,1.5,0.1,0.2,1.3,0.1,39.1
4720,2.3,0.2,0.5,1.9,0.2,32.1
4721,1.2,0.3,0.2,1.0,0.3,31.1
4722,2.0,0.2,0.4,1.6,0.2,30.2
4723,2.1,0.3,0.2,1.9,0.2,23.7
4724,3.8,0.4,0.2,3.6,0.3,12.2
4725,3.2,0.2,0.2,2.9,0.3,14.4
4726,3.25,0.15000000000000002,0.25,2.95,0.15,12.2
4727,3.3,0.1,0.3,3.0,0.0,10.0
4728,2.9,0.2,0.2,2.7,0.1,18.2
4729,3.7,0.1,0.2,3.5,0.0,10.1
4730,3.3,0.1,0.5,2.8,0.0,4.9
4731,2.9,0.1,1.0,2.0,0.0,2.9
4732,2.6,0.1,1.3,1.4,0.0,1.7
4733,2.7,0.1,1.1,1.6,0.0,5.4
4734,4.5,0.2,1.9,2.6,0.0,9.2
4735,2.7,0.2,0.7,2.0,0.1,15.6
4736,2.1,0.2,0.7,1.5,0.1,22.7
4737,1.5,0.1,0.4,1.1,0.1,24.8
4738,0.9,0.1,0.3,0.6,0.1,28.1
4739,1.7,0.1,0.8,0.9,0.1,31.2
4740,1.4,0.1,0.3,1.1,0.2,28.6
4741,0.9,0.2,0.3,0.6,0.2,27.8
4742,0.8,0.1,0.3,0.5,0.2,31.9
4743,0.7,0.2,0.2,0.5,0.2,28.3
4744,1.8,0.1,0.4,1.3,0.2,21.2
4745,1.3,0.2,0.4,0.9,0.3,17.7
4746,1.9,0.2,0.5,1.4,0.3,18.7
4747,5.1,0.2,1.2,4.0,0.3,21.7
4748,4.9,0.2,0.7,4.3,0.3,20.0
4749,2.3,0.2,0.2,2.1,0.2,14.2
4750,2.8,0.1,0.6,2.2,0.3,8.4
4751,3.85,0.15000000000000002,0.6,3.25,0.25,9.45
4752,4.9,0.2,0.6,4.3,0.2,10.5
4753,3.1,0.2,0.7,2.5,0.2,11.9
4754,4.3,0.2,0.7,3.5,0.2,17.5
4755,1.3,0.1,0.2,1.0,0.1,17.6
4756,0.9,0.1,0.3,0.6,0.1,17.4
4757,0.7,0.1,0.2,0.6,0.2,17.0
4758,1.1,0.1,0.6,0.6,0.2,14.4
4759,0.9,0.1,0.5,0.4,0.2,15.7
4760,0.7,0.2,0.3,0.3,0.2,18.6
4761,0.4,0.2,0.2,0.2,0.3,19.1
4762,0.5,0.1,0.2,0.3,0.2,19.5
4763,0.5,0.2,0.2,0.3,0.1,19.3
4764,0.8,0.1,0.3,0.4,0.1,17.8
4765,1.1,0.1,0.4,0.8,0.1,14.7
4766,1.0,0.1,0.4,0.6,0.1,15.1
4767,1.3,0.1,0.5,0.8,0.1,16.2
4768,1.0,0.1,0.4,0.6,0.1,15.4
4769,1.1,0.0,0.4,0.6,0.2,13.6
4770,2.0,0.1,0.6,1.4,0.1,12.7
4771,3.5,0.1,0.8,2.6,0.1,11.4
4772,2.2,0.1,0.6,1.6,0.1,11.5
4773,1.9,0.0,0.4,1.5,0.1,10.8
4774,1.4,0.1,0.2,1.2,0.0,9.4
4775,3.4,0.0,0.3,3.1,0.0,5.7
4776,2.65,0.05,0.25,2.4,0.2,6.35
4777,1.9,0.1,0.2,1.7,0.4,7.0
4778,1.4,0.1,0.2,1.3,0.4,7.7
4779,1.7,0.2,0.2,1.6,0.3,13.8
4780,1.6,0.4,0.2,1.4,0.4,20.1
4781,1.4,0.3,0.2,1.2,0.4,20.7
4782,1.4,0.2,0.1,1.3,0.4,20.6
4783,1.3,0.2,0.0,1.3,0.3,20.5
4784,1.5,0.3,0.4,1.2,0.3,21.3
4785,1.1,0.2,0.2,0.8,0.3,22.9
4786,1.4,0.5,0.3,1.0,0.3,22.8
4787,1.5,0.6,0.3,1.2,0.3,23.8
4788,1.2,0.6,0.2,1.0,0.2,25.9
4789,1.1,0.3,0.1,1.0,0.3,26.2
4790,1.1,0.1,0.2,0.9,0.3,26.2
4791,0.9,0.1,0.1,0.7,0.2,26.8
4792,1.3,0.1,0.4,0.9,0.2,24.9
4793,1.0,0.1,0.3,0.7,0.2,23.9
4794,1.2,0.1,0.3,1.0,0.1,22.7
4795,1.2,0.0,0.2,1.0,0.1,19.0
4796,2.5,0.1,0.2,2.3,0.1,13.0
4797,2.1,0.1,0.2,1.9,0.2,13.9
4798,1.5,0.0,0.2,1.4,0.1,12.8
4799,1.7,0.0,0.3,1.5,0.0,8.6
4800,2.1,0.0,0.4,1.7,0.1,8.0
4801,2.1500000000000004,0.0,0.45,1.7,0.15000000000000002,7.65
4802,2.2,0.0,0.5,1.7,0.2,7.3
4803,2.8,0.0,0.7,2.1,0.0,5.1
4804,2.7,0.0,1.1,1.6,0.2,4.1
4805,2.6,0.0,1.2,1.4,0.0,5.2
4806,3.1,0.1,1.4,1.7,0.1,6.9
4807,2.1,0.0,1.0,1.1,0.0,8.5
4808,2.0,0.0,1.0,1.0,0.1,11.8
4809,3.2,0.0,1.6,1.6,0.1,16.1
4810,1.7,0.1,0.8,1.0,0.1,20.2
4811,0.7,0.2,0.1,0.6,0.1,26.0
4812,1.3,0.1,0.3,1.0,0.2,29.0
4813,1.5,0.0,0.5,1.0,0.1,28.4
4814,2.0,0.0,0.7,1.4,0.1,30.1
4815,1.1,0.1,0.4,0.7,0.2,27.9
4816,1.3,0.1,0.4,1.0,0.1,26.0
4817,0.8,0.0,0.3,0.5,0.2,22.6
4818,1.0,0.0,0.4,0.6,0.2,20.5
4819,1.9,0.0,0.4,1.5,0.2,15.9
4820,5.4,0.0,0.8,4.6,0.2,8.3
4821,7.0,0.0,1.9,5.1,0.3,3.0
4822,4.0,0.1,0.6,3.4,0.2,4.9
4823,2.6,0.1,0.5,2.1,0.2,5.1
4824,2.2,0.0,0.5,1.7,0.2,5.9
4825,2.4,0.0,0.5,1.9,0.2,4.8
4826,2.5,0.0,0.8,1.75,0.1,4.0
4827,2.6,0.0,1.1,1.6,0.0,3.2
4828,2.4,0.0,0.7,1.6,0.0,7.1
4829,1.8,0.0,0.7,1.1,0.0,6.1
4830,3.0,0.1,1.5,1.5,0.0,8.9
4831,4.0,0.1,2.2,1.8,0.0,9.9
4832,2.4,0.1,1.2,1.2,0.0,13.2
4833,0.6,0.0,0.2,0.3,0.1,19.9
4834,0.7,0.0,0.3,0.4,0.0,20.3
4835,1.5,0.0,0.5,0.9,0.0,21.8
4836,0.6,0.0,0.3,0.4,0.1,22.9
4837,0.6,0.0,0.1,0.4,0.1,23.4
4838,0.9,0.1,0.2,0.7,0.1,25.0
4839,1.2,0.1,0.1,1.0,0.0,24.6
4840,3.0,0.1,0.8,2.2,0.2,18.7
4841,1.9,0.3,0.3,1.6,0.1,19.2
4842,1.9,0.3,0.3,1.6,0.1,21.6
4843,2.6,0.1,0.2,2.4,0.1,17.6
4844,4.2,0.1,0.3,3.9,0.3,7.4
4845,4.0,0.1,1.1,3.0,0.3,3.5
4846,4.4,0.1,1.8,2.6,0.3,1.3
4847,5.2,0.1,3.2,2.0,0.3,0.2
4848,4.5,0.1,2.7,1.8,0.2,1.3
4849,2.6,0.0,0.4,2.2,0.1,3.9
4850,3.9,0.1,1.7,2.2,0.1,0.6
4851,7.299999999999999,0.15000000000000002,4.8999999999999995,2.4000000000000004,0.15000000000000002,0.6499999999999999
4852,10.7,0.2,8.1,2.6,0.2,0.7
4853,2.3,0.0,1.2,1.1,0.0,4.5
4854,1.5,0.1,0.6,0.9,0.0,10.4
4855,1.3,0.0,0.5,0.9,0.0,13.1
4856,2.6,0.1,0.9,1.7,0.1,17.1
4857,2.7,0.1,0.6,2.1,0.1,25.3
4858,2.2,0.2,0.4,1.8,0.1,32.8
4859,2.1,0.2,0.2,2.0,0.1,40.3
4860,1.3,0.8,0.1,1.2,0.1,38.5
4861,1.3,1.6,0.1,1.2,0.1,42.4
4862,1.3,0.4,0.2,1.2,0.1,43.0
4863,1.4,0.4,0.3,1.2,0.2,40.9
4864,1.1,0.2,0.0,1.0,0.2,39.7
4865,1.6,0.3,0.1,1.5,0.2,37.3
4866,2.9,0.2,0.3,2.6,0.2,31.5
4867,5.5,0.1,0.4,5.1,0.4,15.6
4868,4.3,0.1,0.2,4.1,0.4,20.5
4869,2.3,0.1,0.1,2.2,0.4,27.3
4870,1.6,0.1,0.0,1.6,0.2,33.5
4871,1.3,0.0,0.0,1.4,0.2,31.4
4872,1.0,0.0,0.1,0.9,0.3,31.7
4873,1.1,0.1,0.0,1.1,0.4,27.5
4874,1.3,0.1,0.1,1.2,0.3,22.8
4875,1.8,0.0,0.2,1.6,0.4,16.2
4876,2.0,0.0,0.35,1.65,0.35,11.399999999999999
4877,2.2,0.0,0.5,1.7,0.3,6.6
4878,3.1,0.0,0.9,2.2,0.1,11.7
4879,3.1,0.1,0.9,2.2,0.1,23.2
4880,3.3,0.1,0.9,2.4,0.0,29.1
4881,1.8,0.0,0.3,1.5,0.1,35.4
4882,1.4,0.1,0.2,1.2,0.1,37.2
4883,1.4,0.2,0.1,1.3,0.1,40.3
4884,1.5,0.3,0.1,1.4,0.1,43.4
4885,1.4,0.4,0.2,1.2,0.2,42.0
4886,1.3,0.3,0.1,1.2,0.2,41.3
4887,2.4,0.5,0.1,2.3,0.3,36.7
4888,3.6,0.3,0.1,3.5,0.4,26.8
4889,2.0,0.3,0.1,1.9,0.2,27.0
4890,1.7,0.2,0.1,1.6,0.3,35.9
4891,1.3,0.2,0.2,1.2,0.3,44.9
4892,1.6,0.1,0.0,1.7,0.3,40.2
4893,2.6,0.2,0.0,2.5,0.3,29.0
4894,2.4,0.2,0.1,2.3,0.4,22.3
4895,2.1,0.1,0.0,2.1,0.3,24.1
4896,2.9,0.2,0.4,2.5,0.5,12.9
4897,1.7,0.2,0.1,1.6,0.3,19.3
4898,2.2,0.1,0.2,2.0,0.4,16.1
4899,1.7,0.2,0.2,1.5,0.3,20.2
4900,1.5,0.2,0.1,1.4,0.4,20.9
4901,1.4,0.15000000000000002,0.1,1.25,0.30000000000000004,20.35
4902,1.3,0.1,0.1,1.1,0.2,19.8
